Custom_Time_Name,"Custom_Time_Code","Country Name","Country Code","GDP per capita, PPP (constant 2011 international $) [NY.GDP.PCAP.PP.KD]","Individuals using the Internet (% of population) [IT.NET.USER.ZS]","Railways, passengers carried (million passenger-km) [IS.RRS.PASG.KM]","Air transport, passengers carried [IS.AIR.PSGR]","Air transport, registered carrier departures worldwide [IS.AIR.DPRT]","Central government debt, total (% of GDP) [GC.DOD.TOTL.GD.ZS]","Tax revenue (% of GDP) [GC.TAX.TOTL.GD.ZS]","CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high) [IQ.CPA.TRAN.XQ]","UHC service coverage index [SH.UHC.SRVS.CV.XD]"
Most Recent Value,"(Most Recent Value)","Russian Federation","RUS","24790.6483258882(2017)","80.8647214200397(2018)","129370.701(2018)","99327311(2018)","885094(2018)","14.1758237480639(2016)","11.4672107998923(2018)","..","74(2017)"
Most Recent Value,"(Most Recent Value)","Rwanda","RWA","1997.85919835339(2018)","21.7676326213782(2017)","..","1073528(2018)","18439(2018)","..","13.6173607623843(2017)","3.5(2018)","57(2017)"
Most Recent Value,"(Most Recent Value)","Samoa","WSM","5752.99315695443(2018)","33.6109393195046(2017)","..","137770(2018)","6848(2018)","..","25.4601861350623(2018)","4(2018)","58(2017)"
Most Recent Value,"(Most Recent Value)","San Marino","SMR","57296.8642567228(2017)","60.1823012607528(2017)","..","..","..","53.7742498918116(2016)","15.6549158259086(2016)","..",".."
Most Recent Value,"(Most Recent Value)","Sao Tome and Principe","STP","3033.39298016278(2018)","29.9312292018213(2017)","..","..","..","..","..","3.5(2018)","55(2017)"
Most Recent Value,"(Most Recent Value)","Saudi Arabia","SAU","49100.6563426032(2018)","93.3100018480347(2018)","134.65(2018)","39141659.999(2018)","254063.746947842(2018)","..","3.38483623653337(2017)","..","74(2017)"
Most Recent Value,"(Most Recent Value)","Senegal","SEN","3356.33591022565(2018)","46(2017)","..","21038(2018)","1087(2018)","..","15.7742609935958(2015)","3.5(2018)","45(2017)"
Most Recent Value,"(Most Recent Value)","Serbia","SRB","16049.2790508045(2018)","73.360709154564(2018)","377(2017)","2262703(2018)","28160(2018)","..","18.5525002126608(2012)","..","65(2017)"
Most Recent Value,"(Most Recent Value)","Seychelles","SYC","27114.0154914524(2018)","58.769811242531(2017)","..","455201(2018)","18671(2018)","63.3403933800613(2015)","31.6735115038211(2016)","..","71(2017)"
Most Recent Value,"(Most Recent Value)","Sierra Leone","SLE","1421.46941800711(2018)","9(2017)","..","50193(2012)","2145(2012)","..","..","3(2018)","39(2017)"
Most Recent Value,"(Most Recent Value)","Singapore","SGP","90091.4151726294(2018)","88.1656360313447(2018)","..","40401515(2018)","208787(2018)","109.39795310629(2016)","13.4686879991958(2018)","..","86(2017)"
Most Recent Value,"(Most Recent Value)","Sint Maarten (Dutch part)","SXM","28882.7956693037(2017)","..","..","..","..","..","..","..",".."
Most Recent Value,"(Most Recent Value)","Slovak Republic","SVK","31226.4464427041(2018)","80.660335563768(2018)","3815.147(2018)","7925(2017)","51(2017)","..","17.8149840969873(2017)","..","77(2017)"
